date,price,open,high,low,vol,change_pct
2024-10-08,10.85,10.71,10.94,9.2,0.00585,0.0
2024-10-09,10.85,10.69,10.86,9.7,0.00311,0.0
2024-10-10,10.85,9.77,10.5,9.77,0.00535,0.0
2024-10-13,10.85,10.6,10.67,9.3,0.01287,0.0
2024-10-14,10.85,9.53,9.94,9.31,0.00207,0.0
2024-10-15,10.85,9.77,9.86,9.33,0.0047,0.0
2024-10-16,10.85,9.71,10.25,9.44,0.010130000000000002,0.0
2024-10-17,10.85,9.41,9.98,9.41,0.00398,0.0
2024-10-20,10.85,9.6,9.93,9.38,0.002,0.0
2024-10-21,10.85,9.4,9.94,9.35,0.00117,0.0
2024-10-22,10.85,9.42,9.85,9.42,0.0024900000000000005,0.0
2024-10-23,10.85,9.44,9.77,9.3,0.00816,0.0
2024-10-24,10.85,9.41,9.78,9.41,0.00321,0.0
2024-10-27,10.85,9.5,10.46,9.5,0.0044800000000000005,0.0
2024-10-28,10.85,9.7,10.09,9.51,0.0029900000000000005,0.0
2024-10-29,10.85,9.51,9.99,9.51,0.00063,0.0
2024-10-30,10.85,9.8,9.88,9.8,0.0007700000000000001,0.0
2024-10-31,10.85,9.5,10.4,9.34,0.00911,0.0
2024-11-03,10.85,9.55,10.29,9.45,0.00404,0.0
2024-11-04,10.85,9.6,10.16,9.6,0.0027,0.0
2024-11-05,10.85,9.64,10.16,9.45,0.006019999999999999,0.0
2024-11-06,10.85,9.51,10.1,9.51,0.0014399999999999999,0.0
2024-11-07,10.85,10.0,10.0,9.7,0.00346,0.0
2024-11-10,10.85,9.94,10.05,9.7,0.005370000000000001,0.0
2024-11-11,10.85,10.0,10.07,9.8,0.00645,0.0
2024-11-12,10.85,9.8,10.1,9.7,0.00364,0.0
2024-11-13,10.85,9.74,10.03,9.68,0.00083,0.0
2024-11-14,10.85,9.76,10.1,9.76,0.002,0.0
2024-11-17,10.85,9.82,10.05,9.8,0.00177,0.0
2024-11-18,10.85,9.82,10.01,9.8,0.0016200000000000001,0.0
2024-11-19,10.85,9.8,10.29,9.8,0.00311,0.0
2024-11-20,10.85,9.91,9.91,9.91,0.0004,0.0
2024-11-21,10.85,9.82,10.05,9.82,0.00066,0.0
2024-11-24,10.85,9.83,10.2,9.8,0.01553,0.0
2024-11-25,10.85,9.8,10.49,9.8,0.00568,0.0
2024-11-26,10.85,9.85,10.33,9.82,0.0005200000000000001,0.0
2024-11-27,10.85,9.82,10.33,9.82,0.00152,0.0
2024-11-28,10.85,9.83,10.24,9.82,0.00073,0.0
2024-12-01,10.85,10.3,10.3,9.82,0.00025,0.0
2024-12-02,10.85,9.83,10.25,9.83,0.0027,0.0
2024-12-03,10.85,9.82,10.23,9.82,0.0011200000000000001,0.0
2024-12-04,10.85,9.84,10.21,9.84,0.00167,0.0
2024-12-05,10.85,9.82,10.2,9.82,0.0015,0.0
